화장실명,소재지도로명주소,구분,남성용-대변기수,남성용-소변기수,여성용-대변기수,장애인용-남성대변기수,개방시간,관리기관명,전화번호,위도,경도
두물머리 공중화장실,경기도 양평군 양서면 양수리,공원화장실,3,5,6,1,24시간,양평군청,031-770-2001,37.5298,127.3095
양수리 주차장 화장실,경기도 양평군 양서면 양수리 256,공용화장실,2,4,4,1,06:00-22:00,양평군청,031-770-2001,37.5320,127.3110
의암호 관광지 화장실,강원도 춘천시 후평동,관광지화장실,4,6,8,2,24시간,춘천시청,033-250-3114,37.8825,127.7275
춘천 스카이워크 화장실,강원도 춘천시 근화동,공원화장실,2,4,5,1,09:00-18:00,춘천시청,033-250-3114,37.8800,127.7300
경포대 해변 화장실,강원도 강릉시 강문동,해수욕장화장실,5,8,10,2,24시간,강릉시청,033-640-5114,37.7960,128.9080
경포호 공원 화장실,강원도 강릉시 저동,공원화장실,3,5,6,1,06:00-22:00,강릉시청,033-640-5114,37.7935,128.8950
만리포해수욕장 화장실,충청남도 태안군 소원면 만리포2길,해수욕장화장실,4,6,8,2,24시간,태안군청,041-670-2114,36.7855,126.1390
만리포 주차장 화장실,충청남도 태안군 소원면 만리포1길,공용화장실,2,4,4,1,06:00-22:00,태안군청,041-670-2114,36.7840,126.1405
함덕해수욕장 화장실,제주특별자치도 제주시 조천읍 함덕리,해수욕장화장실,5,8,10,2,24시간,제주시청,064-728-2114,33.5440,126.6690
함덕 서우봉 화장실,제주특별자치도 제주시 조천읍 함덕리,공원화장실,2,3,4,1,06:00-20:00,제주시청,064-728-2114,33.5425,126.6705
